DATE	NEGCODE	NAME	SECTOR	WEIGHT	EXPECTEDRETURN	FORWARDReturn
2017-11-29	GGBR4	Gerdau S.A.	Basic Materials	0.010128999999999999	0.001228994550431585	0.11531531531531543
2017-11-29	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.0027800000000000004	0.0016871536137399704	0.12865497076023394
2017-11-29	HYPE3	Hypera S.A.	Healthcare	0.010065	0.0006614044594763161	0.09024833434282242
2017-11-29	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.033778	0.0006872203826186725	0.031458531935176365
2017-11-29	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.108072	0.0006997615903510096	0.01671442215854813
2017-11-29	JBSS3	JBS S.A.	Consumer Goods	0.011401	-0.0007410773228970851	0.2576923076923078
2017-11-29	KLBN11	Klabin S.A.	Basic Materials	0.007554	0.0012422159444674084	-0.03243540406816931
2017-11-29	KROT3	Kroton Educacional S.A.	Services	0.022525	0.0018311612072939797	0.01098901098901095
2017-11-29	RENT3	Localiza Rent a Car S.A.	Services	0.00842	-0.0020480466632966693	0.06570048309178741
2017-11-29	LAME4	Lojas Americanas S.A.	Services	0.010216000000000001	-0.00026445306935512093	0.10714285714285716
2017-11-29	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	0.001231544657242821	0.03771929824561401
2017-11-29	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	0.0007744174351317836	0.05172413793103453
2017-11-29	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	-0.0005736552842149398	0.09700948212983211
2017-11-29	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	0.0004450003948128511	0.012567837760639956
2017-11-29	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	-3.11963603550854e-05	0.10753768844221108
2017-11-29	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	0.0009457251681251733	0.11231679819616705
2017-11-29	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	0.0008841296980185869	0.06285355122564425
2017-11-29	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	0.0008796637546930843	0.05022831050228319
2017-11-29	QUAL3	Qualicorp S.A.	Healthcare	0.00718	0.002444501688342801	0.0064935064935064705
2017-11-29	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	0.0022710426028481954	0.03623433796139512
2017-11-29	RAIL3	Rumo S.A.	Services	0.007554	0.003046829357808593	0.013281249999999994
2017-11-29	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	0.0007963169081547916	0.03559577677224735
2017-11-29	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	0.0011203891967105696	0.08251273344651952
2017-11-29	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	0.0006929619624221393	0.11436170212765974
2017-11-29	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	-0.00016705897189411804	-0.016589861751152048
2017-11-29	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.00024727327759319783	0.013761467889908185
2017-11-29	TIMP3	TIM Participações S.A.	Technology	0.007832	0.0011943499455002087	0.07907742998352546
2017-11-29	UGPA3	Ultrapar Participações S.A.	Basic Materials	0.025359	2.5238668810300586e-05	0.06594656054576464
2017-11-29	USIM5	Usinas Siderúrgicas de Minas Gerais S.A.	Basic Materials	0.003024	0.005943796153014588	0.02247191011235947
2017-11-29	VALE3	Vale S.A.	Basic Materials	0.090439	0.001957610509347093	0.12773109243697464
2017-11-29	WEGE3	WEG S.A.	Industrial Goods	0.010008	0.0020358418862905093	0.057456140350877136
2017-10-27	ABEV3	Ambev S.A.	Consumer Goods	0.070389	0.0012641689389432883	-0.016738402678144495
2017-10-27	BBSE3	BB Seguridade Participações S.A.	Financial	0.015991	1.8298528489614396e-05	-0.061188811188811185
2017-10-27	BVMF3	B3 S.A. - Brasil, Bolsa, Balcão	Financial	0.038677	0.0020772427298054097	-0.06337186129932243
2017-10-27	BRML3	BR Malls Participações S.A.	Financial	0.009792	-0.0002446679038729608	-0.07488653555219366
2017-10-27	BBDC3	Banco Bradesco S.A.	Financial	0.015069999999999998	0.000660035712781689	-0.08902077151335322
2017-10-27	BBDC4	Banco Bradesco S.A.	Financial	0.084595	0.0010714255086429053	-0.08186644314054205
2017-10-27	BRAP4	Bradespar S.A.	Financial	0.005115	0.0012033396055760876	0.049382716049382686
2017-10-27	BBAS3	Banco do Brasil S.A.	Financial	0.032339	0.0009916264319845532	-0.1463013698630137
2017-10-27	BRKM5	Braskem S.A.	Basic Materials	0.008661	0.0028937859363007993	-0.04015979814970571
2017-10-27	BRFS3	BRF S.A.	Consumer Goods	0.029184	0.0016637242723801635	-0.1268888888888889
2017-10-27	CCRO3	CCR S.A.	Industrial Goods	0.016733	0.0006106236899260527	-0.13746630727762807
2017-10-27	CMIG4	Companhia Energética de Minas Gerais	Utilities	0.005992	-0.0009247564269675741	-0.12250000000000005
2017-10-27	CIEL3	Cielo S.A.	Technology	0.021523	-0.001501558619422253	0.09632808774439675
2017-10-27	CPLE6	Companhia Paranaense de Energia - COPEL	Utilities	0.002493	-0.0011615750001780017	-0.08575746127691725
2017-10-27	CSAN3	Cosan S.A. Indústria e Comércio	Basic Materials	0.0050929999999999994	0.0003857014276550521	-0.04093413802151672
2017-10-27	CPFE3	CPFL Energia S.A.	Utilities	0.010744	0.00046118330109606376	-0.07871720116618076
2017-10-27	CYRE3	Cyrela Brazil Realty S.A. Empreendimentos e Participações	Industrial Goods	0.002762	0.0004287659399270602	-0.06320541760722347
2017-10-27	ECOR3	EcoRodovias Infraestrutura e Logística S.A.	Industrial Goods	0.0017100000000000001	0.0027413936424757414	-0.01941747572815536
2017-10-27	ELET3	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.004082	0.0028061130844724154	-0.14609141392567287
2017-10-27	ELET6	Centrais Elétricas Brasileiras S.A. - Eletrobras	Utilities	0.003985	0.0021078607718019097	-0.16996336996336997
2017-10-27	EMBR3	Embraer S.A.	Industrial Goods	0.011297999999999999	-0.000742639167104388	-0.003843689942344569
2017-10-27	ENBR3	EDP - Energias do Brasil S.A.	Utilities	0.003865	0.0008785059619596653	-0.05
2017-10-27	EGIE3	Engie Brasil Energia S.A.	Utilities	0.006321	0.00019684014054602674	-0.014196014196014281
2017-10-27	EQTL3	Equatorial Energia S.A.	Utilities	0.010399	0.0008840470814572325	0.030303030303030165
2017-10-27	ESTC3	Estácio Participações S.A.	Services	0.006836	0.0048090382638751985	0.08415492957746482
2017-10-27	FIBR3	Fibria Celulose S.A.	Consumer Goods	0.008239	0.004335421840646253	-0.08830822048445551
2017-10-27	GGBR4	Gerdau S.A.	Basic Materials	0.010128999999999999	0.0003749934509475496	-0.041450777202072575
2017-10-27	GOAU4	Metalurgica Gerdau S.A.	Basic Materials	0.0027800000000000004	0.0008415733223233446	-0.06727272727272729
2017-10-27	HYPE3	Hypera S.A.	Healthcare	0.010065	0.001260996623037089	-0.028823529411764613
2017-10-27	ITSA4	Itaúsa - Investimentos Itaú S.A.	Financial	0.033778	0.0011292800064197149	-0.05919282511210763
2017-10-27	ITUB4	Itaú Unibanco Holding S.A.	Financial	0.108072	0.0010781088519459714	-0.040989237462789076
2017-10-27	JBSS3	JBS S.A.	Consumer Goods	0.011401	-0.0012213082893429632	0.014304291287386141
2017-10-27	KLBN11	Klabin S.A.	Basic Materials	0.007554	0.0021774382156144203	-0.06091894682498707
2017-10-27	KROT3	Kroton Educacional S.A.	Services	0.022525	0.0025672759244236123	-0.0032858707557503982
2017-10-27	RENT3	Localiza Rent a Car S.A.	Services	0.00842	0.0024117206727024003	-0.6491525423728813
2017-10-27	LAME4	Lojas Americanas S.A.	Services	0.010216000000000001	0.000975000259255208	-0.13337084974676416
2017-10-27	LREN3	Lojas Renner S.A.	Services	0.018491999999999998	0.0022586682997537888	-0.04255319148936159
2017-10-27	MRFG3	Marfrig Global Foods S.A.	Consumer Goods	0.002465	0.0009529429621073793	0.06259541984732826
2017-10-27	MRVE3	MRV Engenharia e Participações S.A.	Industrial Goods	0.003281	-0.000382772698184317	0.0029261155815655396
2017-10-27	MULT3	Multiplan Empreendimentos Imobiliários S.A.	Financial	0.00561	0.0010191849793776164	-0.04928716904276999
2017-10-27	NATU3	Natura Cosméticos S.A.	Consumer Goods	0.0043630000000000006	0.0011302314331234542	-0.06718749999999996
2017-10-27	PCAR4	Companhia Brasileira de Distribuição	Services	0.009603	0.001842802994728896	-0.10943775100401622
2017-10-27	PETR3	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.032506	0.0015780085547573688	-0.08563218390804589
2017-10-27	PETR4	Petróleo Brasileiro S.A. - Petrobras	Basic Materials	0.048365	0.0017800176470158724	-0.0998238402818556
2017-10-27	QUAL3	Qualicorp S.A.	Healthcare	0.00718	0.004205374794686782	-0.11999999999999998
2017-10-27	RADL3	Raia Drogasil S.A.	Healthcare	0.012583	0.0020982230230743946	0.1372272143774069
2017-10-27	RAIL3	Rumo S.A.	Services	0.007554	0.0031705398039964605	-0.03541823662396374
2017-10-27	SBSP3	Companhia de Saneamento Básico do Estado de São Paulo - SABESP	Utilities	0.009389	3.878419951058911e-05	0.09046052631578948
2017-10-27	SANB11	BCO Santander(Brasil) S.A.	Financial	0.009205999999999999	7.580399275742499e-05	-0.019966722129783742
2017-10-27	CSNA3	Companhia Siderúrgica Nacional	Basic Materials	0.004488	2.3558537035360076e-06	-0.16997792494481245
2017-10-27	TAEE11	Transmissora Aliança de Energia Elétrica S.A.	Utilities	0.0035670000000000003	-0.00019013990284866728	0.04830917874396135
2017-10-27	VIVT4	Telefônica Brasil S.A.	Technology	0.017415	0.0007704905226686761	-0.06801399144966964
2017-10-27	TIMP3	TIM Participações S.A.	Technology	0.007832	0.0013282515778479866	-0.016207455429497513
